gen,time,Terre,x_1,y_1,z_1,vx_1,vy_1,vz_1,ax_1,ay_1,az_1,Soleil,x_2,y_2,z_2,vx_2,vy_2,vz_2,ax_2,ay_2,az_2,Body3,x_3,y_3,z_3,vx_3,vy_3,vz_3,ax_3,ay_3,az_3
20,151875.0,,-2.435315693521013e+17,8.257359081799447e+19,0.0,-90.09033236695014,29783.0,0.0,4.36040177346468e-19,-1.4784652010855733e-16,0.0,,731293025633.8464,0.00029993919091309224,0.0,0.0002705291615443131,1.3672060571100698e-19,0.0,-1.309370056452895e-24,4.439632319181605e-22,0.0,,-3.530435504087216e+17,8.540709348112404e+19,0.0,-130.60238906626958,30805.0,0.0,5.858016343462286e-19,-1.3857366909294092e-16,0.0
22,167062.5,,-2.6850918155210016e+17,9.083094989979392e+19,0.0,-90.09033236695014,29783.0,0.0,3.61203790392313e-19,-1.2218719926025353e-16,0.0,,806297438519.3691,0.00033802971507031286,0.0,0.0002705291615443131,1.376085321748433e-19,0.0,-1.0846464431216557e-24,3.6691173957141145e-22,0.0,,-3.8925316070523526e+17,9.394780282923644e+19,0.0,-130.60238906626958,30805.0,0.0,4.852619349376687e-19,-1.1452367655539664e-16,0.0
24,182250.0,,-2.93486793752099e+17,9.908830898159337e+19,0.0,-90.09033236695014,29783.0,0.0,3.0409971788626826e-19,-1.0267118304573021e-16,0.0,,881301851404.8918,0.00037633437362937297,0.0,0.0002705291615443131,1.3834235565398615e-19,0.0,-9.131705871674027e-25,3.083077654879827e-22,0.0,,-4.254627710017489e+17,1.0248851217734884e+20,0.0,-130.60238906626958,30805.0,0.0,4.0854492768952915e-19,-9.623168857287112e-17,0.0
26,197437.5,,-3.1846440595209786e+17,1.0734566806339283e+20,0.0,-90.09033236695014,29783.0,0.0,2.595386344430778e-19,-8.748313444509093e-17,0.0,,956306264290.4146,0.0004148181133046234,0.0,0.0002705291615443131,1.389589711849621e-19,0.0,-7.793596418121281e-25,2.627000965464421e-22,0.0,,-4.616723812982626e+17,1.1102922152546124e+20,0.0,-130.60238906626958,30805.0,0.0,3.486789411042253e-19,-8.199622311291244e-17,0.0
28,212625.0,,-3.434420181520967e+17,1.1560302714519228e+20,0.0,-90.09033236695014,29783.0,0.0,2.2409928831342962e-19,-7.543188354121493e-17,0.0,,1031310677175.9373,0.00045345384295756853,0.0,0.0002705291615443131,1.3948437137805499e-19,0.0,-6.729400478086144e-25,2.265118095579291e-22,0.0,,-4.9788199159477626e+17,1.1956993087357364e+20,0.0,-130.60238906626958,30805.0,0.0,3.010676498939469e-19,-7.070081868726769e-17,0.0
30,227812.5,,-3.6841963035209555e+17,1.2386038622699173e+20,0.0,-90.09033236695014,29783.0,0.0,1.9545200423995673e-19,-6.570954977452788e-17,0.0,,1106315090061.46,0.0004922201903634494,0.0,0.0002705291615443131,1.3993739499717082e-19,0.0,-5.869161034263041e-25,1.9731694776695745e-22,0.0,,-5.340916018912899e+17,1.2811064022168604e+20,0.0,-130.60238906626958,30805.0,0.0,2.625812232078994e-19,-6.158826392757742e-17,0.0
32,243000.0,,-3.933972425520944e+17,1.3211774530879118e+20,0.0,-90.09033236695014,29783.0,0.0,1.7196596226081412e-19,-5.775253235679208e-17,0.0,,1181319502946.983,0.0005310999974614314,0.0,0.0002705291615443131,1.4033202889270472e-19,0.0,-5.1639067547325075e-25,1.7342309374446697e-22,0.0,,-5.703012121878036e+17,1.3665134956979844e+20,0.0,-130.60238906626958,30805.0,0.0,2.3102871698896967e-19,-5.41303064004286e-17,0.0
34,258187.5,,-4.1837485475209325e+17,1.4037510439059063e+20,0.0,-90.09033236695014,29783.0,0.0,1.5247194147673541e-19,-5.115795126635301e-17,0.0,,1256323915832.5059,0.0005700792802194379,0.0,0.0002705291615443131,1.4067887508019364e-19,0.0,-4.578527507116488e-25,1.536204529254067e-22,0.0,,-6.065108224843172e+17,1.4519205891791084e+20,0.0,-130.60238906626958,30805.0,0.0,2.0483932847290155e-19,-4.794933426880331e-17,0.0
36,273375.0,,-4.433524669520921e+17,1.4863246347239008e+20,0.0,-90.09033236695014,29783.0,0.0,1.3611397727774107e-19,-4.5631628361554097e-17,0.0,,1331328328718.0288,0.0006091464908974736,0.0,0.0002705291615443131,1.4098611598604444e-19,0.0,-4.087319824442952e-25,1.3702564788274228e-22,0.0,,-6.427204327808307e+17,1.5373276826602324e+20,0.0,-130.60238906626958,30805.0,0.0,1.8286310295002453e-19,-4.276961994124662e-17,0.0
38,288562.5,,-4.6833007915209094e+17,1.568898225541895e+20,0.0,-90.09033236695014,29783.0,0.0,1.2225379537153094e-19,-4.095470165231259e-17,0.0,,1406332741603.5518,0.0006482919829638191,0.0,0.0002705291615443131,1.4126016728180992e-19,0.0,-3.671117187442332e-25,1.2298146547145096e-22,0.0,,-6.789300430773443e+17,1.6227347761413564e+20,0.0,-130.60238906626958,30805.0,0.0,1.6424254435028685e-19,-3.838602824350062e-17,0.0
